Company Name,Industry,Symbol,Series,ISIN Code,Extension,
Adani Enterprises Ltd.,Metals & Mining,ADANIENT,EQ,INE423A01024,.NS,
Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS,EQ,INE742F01042,.NS,
Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP,EQ,INE437A01024,.NS,
Asian Paints Ltd.,Consumer Durables,ASIANPAINT,EQ,INE021A01026,.NS,
Axis Bank Ltd.,Financial Services,AXISBANK,EQ,INE238A01034,.NS,
Bajaj Auto Ltd.,Automobile and Auto Components,BAJAJ-AUTO,EQ,INE917I01010,.NS,
Bajaj Finance Ltd.,Financial Services,BAJFINANCE,EQ,INE296A01024,.NS,
Bajaj Finserv Ltd.,Financial Services,BAJAJFINSV,EQ,INE918I01026,.NS,
Bharat Electronics Ltd.,Capital Goods,BEL,EQ,INE263A01024,.NS,
Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,BPCL,EQ,INE029A01011,.NS,
Bharti Airtel Ltd.,Telecommunication,BHARTIARTL,EQ,INE397D01024,.NS,
Britannia Industries Ltd.,Fast Moving Consumer Goods,BRITANNIA,EQ,INE216A01030,.NS,
Cipla Ltd.,Healthcare,CIPLA,EQ,INE059A01026,.NS,
Coal India Ltd.,Oil Gas & Consumable Fuels,COALINDIA,EQ,INE522F01014,.NS,
Dr. Reddy's Laboratories Ltd.,Healthcare,DRREDDY,EQ,INE089A01023,.NS,
Eicher Motors Ltd.,Automobile and Auto Components,EICHERMOT,EQ,INE066A01021,.NS,
Grasim Industries Ltd.,Construction Materials,GRASIM,EQ,INE047A01021,.NS,
HCL Technologies Ltd.,Information Technology,HCLTECH,EQ,INE860A01027,.NS,
HDFC Bank Ltd.,Financial Services,HDFCBANK,EQ,INE040A01034,.NS,
HDFC Life Insurance Company Ltd.,Financial Services,HDFCLIFE,EQ,INE795G01014,.NS,
Hero MotoCorp Ltd.,Automobile and Auto Components,HEROMOTOCO,EQ,INE158A01026,.NS,
Hindalco Industries Ltd.,Metals & Mining,HINDALCO,EQ,INE038A01020,.NS,
Hindustan Unilever Ltd.,Fast Moving Consumer Goods,HINDUNILVR,EQ,INE030A01027,.NS,
ICICI Bank Ltd.,Financial Services,ICICIBANK,EQ,INE090A01021,.NS,
ITC Ltd.,Fast Moving Consumer Goods,ITC,EQ,INE154A01025,.NS,
IndusInd Bank Ltd.,Financial Services,INDUSINDBK,EQ,INE095A01012,.NS,
Infosys Ltd.,Information Technology,INFY,EQ,INE009A01021,.NS,
JSW Steel Ltd.,Metals & Mining,JSWSTEEL,EQ,INE019A01038,.NS,
Kotak Mahindra Bank Ltd.,Financial Services,KOTAKBANK,EQ,INE237A01028,.NS,
Larsen & Toubro Ltd.,Construction,LT,EQ,INE018A01030,.NS,
Mahindra & Mahindra Ltd.,Automobile and Auto Components,M&M,EQ,INE101A01026,.NS,
Maruti Suzuki India Ltd.,Automobile and Auto Components,MARUTI,EQ,INE585B01010,.NS,
NTPC Ltd.,Power,NTPC,EQ,INE733E01010,.NS,
Nestle India Ltd.,Fast Moving Consumer Goods,NESTLEIND,EQ,INE239A01024,.NS,
Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,ONGC,EQ,INE213A01029,.NS,
Power Grid Corporation of India Ltd.,Power,POWERGRID,EQ,INE752E01010,.NS,
Reliance Industries Ltd.,Oil Gas & Consumable Fuels,RELIANCE,EQ,INE002A01018,.NS,
SBI Life Insurance Company Ltd.,Financial Services,SBILIFE,EQ,INE123W01016,.NS,
Shriram Finance Ltd.,Financial Services,SHRIRAMFIN,EQ,INE721A01013,.NS,
State Bank of India,Financial Services,SBIN,EQ,INE062A01020,.NS,
Sun Pharmaceutical Industries Ltd.,Healthcare,SUNPHARMA,EQ,INE044A01036,.NS,
Tata Consultancy Services Ltd.,Information Technology,TCS,EQ,INE467B01029,.NS,
Tata Consumer Products Ltd.,Fast Moving Consumer Goods,TATACONSUM,EQ,INE192A01025,.NS,
Tata Motors Ltd.,Automobile and Auto Components,TATAMOTORS,EQ,INE155A01022,.NS,
Tata Steel Ltd.,Metals & Mining,TATASTEEL,EQ,INE081A01020,.NS,
Tech Mahindra Ltd.,Information Technology,TECHM,EQ,INE669C01036,.NS,
Titan Company Ltd.,Consumer Durables,TITAN,EQ,INE280A01028,.NS,
Trent Ltd.,Consumer Services,TRENT,EQ,INE849A01020,.NS,
UltraTech Cement Ltd.,Construction Materials,ULTRACEMCO,EQ,INE481G01011,.NS,
Wipro Ltd.,Information Technology,WIPRO,EQ,INE075A01022,.NS,
